student_id,session_id,concept_name,pre_test_score,attempt_count,time_taken,error_type,error_pattern_score,post_test_correct_count,post_test_nearly_correct_count,post_test_wrong_count,post_test_clearly_wrong_count,post_test_score,mastery_level,next_action
STU001,SESS_101,variables,0.85,1,25,none,0.1,9,1,0,0,0.95,Strong Understanding,DONE
STU002,SESS_102,loops,0.30,4,180,boundary_error,0.7,4,2,3,1,0.50,Needs More Practice,LEARN_AGAIN
STU003,SESS_103,arrays,0.20,5,240,off_by_one,0.9,2,1,4,3,0.25,Learn Again,LEARN_AGAIN
STU004,SESS_104,operators,0.70,2,60,logic_error,0.3,7,2,1,0,0.80,Strong Understanding,DONE
STU005,SESS_105,methods,0.55,3,120,type_mismatch,0.4,6,2,2,0,0.70,Good Progress,DONE
STU006,SESS_106,variables,0.90,1,20,none,0.05,10,0,0,0,1.00,Strong Understanding,DONE
STU007,SESS_107,loops,0.40,3,150,logic_error,0.6,5,2,2,1,0.60,Good Progress,DONE
STU008,SESS_108,arrays,0.35,4,210,off_by_one,0.8,3,2,3,2,0.40,Needs More Practice,LEARN_AGAIN
STU009,SESS_109,methods,0.25,6,300,syntax_error,0.85,1,2,4,3,0.20,Learn Again,LEARN_AGAIN
STU010,SESS_110,operators,0.65,2,80,none,0.2,8,1,1,0,0.85,Strong Understanding,DONE
STU011,SESS_111,variables,0.50,2,90,syntax_error,0.3,6,3,1,0,0.75,Good Progress,DONE
STU012,SESS_112,loops,0.15,5,280,boundary_error,0.95,2,0,5,3,0.20,Learn Again,LEARN_AGAIN
STU013,SESS_113,arrays,0.60,2,110,logic_error,0.4,7,1,2,0,0.75,Good Progress,DONE
STU014,SESS_114,methods,0.75,1,45,none,0.15,9,0,1,0,0.90,Strong Understanding,DONE
STU015,SESS_115,operators,0.30,4,190,type_mismatch,0.7,4,1,3,2,0.45,Needs More Practice,LEARN_AGAIN
STU016,SESS_116,variables,0.80,1,30,none,0.1,8,2,0,0,0.90,Strong Understanding,DONE
STU017,SESS_117,loops,0.45,3,140,off_by_one,0.5,6,1,2,1,0.65,Good Progress,DONE
STU018,SESS_118,arrays,0.10,6,320,null_pointer,0.9,1,1,5,3,0.15,Learn Again,LEARN_AGAIN
STU019,SESS_119,methods,0.50,3,130,logic_error,0.4,5,3,2,0,0.65,Good Progress,DONE
STU020,SESS_120,operators,0.85,1,35,none,0.05,9,1,0,0,0.95,Strong Understanding,DONE
STU021,SESS_121,variables,0.40,3,100,syntax_error,0.5,4,3,2,1,0.55,Needs More Practice,LEARN_AGAIN
STU022,SESS_122,loops,0.70,2,75,boundary_error,0.2,8,1,1,0,0.85,Strong Understanding,DONE
STU023,SESS_123,arrays,0.30,4,200,off_by_one,0.75,3,3,3,1,0.45,Needs More Practice,LEARN_AGAIN
STU024,SESS_124,methods,0.20,5,260,type_mismatch,0.8,2,2,4,2,0.30,Learn Again,LEARN_AGAIN
